AX,AY,AZ,GX,GY,GZ,Result
6.34,10.15,1.72,-2.52,1.53,0.47,1
0.76,6.42,5.98,-1.8,1.51,0.63,1
-1.99,-1.13,9.75,-0.56,1.04,1.39,1
6.94,-0.15,7.0,-0.06,-0.51,0.22,1
1.73,0.95,8.34,0.77,-0.41,-0.42,1
2.35,4.93,7.66,0.96,0.29,-0.42,1
6.49,7.63,6.17,1.98,0.61,0.54,1
7.86,12.48,3.58,3.19,-0.07,0.69,1
8.07,13.41,-1.08,2.88,0.2,-0.08,1
7.94,19.94,-1.16,2.01,1.31,0.63,1
8.22,16.73,5.5,2.18,1.11,0.81,1
7.68,18.27,5.85,2.86,0.98,1.54,1
6.83,14.34,3.98,2.96,0.68,1.77,1
6.99,9.73,2.62,2.3,-0.06,1.71,1
4.53,-0.56,1.11,0.97,0.33,1.38,1
5.19,-3.12,-0.97,-1.05,-1.33,0.49,1
4.83,0.19,-0.27,0.93,0.89,-0.25,1
6.09,0.1,0.65,0.97,0.42,-0.72,1
5.92,1.4,1.6,0.26,0.72,-1.32,1
10.33,5.08,0.38,-0.31,0.23,-1.83,1
7.0,13.58,5.19,-1.16,0.08,-1.55,1
1.89,19.41,6.6,-1.7,-0.8,-0.76,1
5.54,20.28,3.83,-1.27,-0.46,-0.6,1
9.53,15.12,0.49,-1.41,0.13,-0.32,1
8.64,14.77,-2.27,-1.71,0.37,0.02,1
9.37,14.87,-0.02,-2.51,0.54,0.08,1
8.6,11.65,2.38,-2.45,0.73,-0.05,1
6.37,2.72,3.9,-1.64,0.91,-0.41,1
-1.08,2.96,7.04,-1.37,1.04,0.26,1
3.96,0.22,7.37,0.0,-0.43,0.82,1
1.24,3.24,6.47,0.53,0.09,-0.0,1
1.84,3.17,7.08,0.41,0.39,-0.03,1
1.19,5.48,6.56,1.75,0.16,0.52,1
5.82,9.82,6.85,1.52,-0.06,0.87,1
8.74,13.11,4.12,2.97,-0.55,1.25,1
8.23,12.75,-1.09,3.33,0.01,0.11,1
6.04,15.4,3.63,1.51,1.08,0.38,1
5.81,14.52,5.52,2.0,0.81,0.81,1
7.23,15.18,8.33,2.2,1.02,1.73,1
9.16,16.42,7.69,2.24,0.77,1.82,1
10.99,10.03,7.05,2.98,0.16,1.91,1
0.49,1.13,-0.1,2.42,-0.21,1.36,1
5.93,-9.74,-2.05,-0.46,-0.86,1.09,1
4.62,2.21,3.07,0.58,1.59,-0.41,1
3.66,-2.65,3.57,0.8,-0.24,-1.52,1
4.96,2.26,4.89,0.5,-0.81,-1.61,1
3.94,9.95,-0.62,-1.2,-0.82,-1.95,1
6.22,17.57,2.66,-1.56,-1.36,-1.21,1
10.9,41.03,-11.58,-1.27,-0.31,-1.08,1
7.14,17.37,-0.7,-1.84,-0.1,-0.25,1
4.23,18.4,-3.86,-1.73,0.09,0.89,1
9.03,17.03,-3.06,-2.75,0.34,0.69,1
9.99,11.86,2.21,-2.25,0.72,0.35,1
1.88,7.6,5.82,-1.52,1.31,-0.17,1
-1.73,-1.06,8.02,-0.46,1.09,1.7,1
6.27,1.16,5.51,0.29,-0.32,0.25,1
1.08,-1.53,11.27,1.84,-0.86,-0.29,1
1.45,6.45,6.48,1.51,-0.7,-0.54,1
6.13,15.22,1.16,2.11,0.76,-0.16,1
6.36,16.34,-0.4,3.65,0.79,0.5,1
8.57,24.85,-2.51,4.39,1.51,0.57,1
8.15,17.96,4.6,2.27,1.09,0.63,1
6.81,17.61,9.61,2.83,1.45,2.44,1
8.61,14.68,6.45,2.84,0.22,2.53,1
9.49,1.41,3.84,3.47,-0.7,1.89,1
-1.44,-7.78,-0.36,0.77,0.59,0.71,1
6.64,-0.28,8.37,-1.51,-1.0,0.74,1
6.21,-5.63,4.24,1.48,-0.24,-1.6,1
4.63,-0.99,-1.39,0.15,-0.05,-1.92,1
3.17,8.58,3.06,-2.41,0.05,-1.63,1
7.25,18.04,7.59,-2.25,-0.52,-0.98,1
12.36,36.59,-3.2,-1.37,-0.67,-1.6,1
8.44,16.7,-0.69,-2.63,-0.4,-1.33,1
6.58,16.9,-3.23,-2.82,0.19,0.63,1
8.53,15.82,-1.86,-2.55,0.78,0.37,1
9.86,8.93,4.28,-2.17,0.89,0.23,1
-0.77,4.74,4.89,-1.44,-0.13,-0.19,1
1.96,-4.79,6.77,-0.12,0.47,1.43,1
7.68,-1.67,5.07,1.16,-1.07,-0.23,1
1.2,-0.56,7.23,1.67,0.39,-0.22,1
-0.09,7.23,5.41,1.41,0.51,-0.11,1
